Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Creg1	171188	205849	221343	196199	151333	181478	156625	156838	120125	122057	111620	125082
Creld1	29592	27698.6	26284.7	28286.1	43497.6	40500.5	31600.9	34456.1	30255.6	35635.5	38923.5	28691.2
Creld2	97524.6	92468.5	126920	124550	46833.2	63017.6	64976.9	64630.4	97399.4	84853	104473	94479.4
Crim1	1918.31	1935.58	4589.69		15613.7	9585.01	4807.92	7248.11				1602.35
Crip1	11153.4	9604.08	11640.9	9122.43	8625.04	8758.87	7024.61	9591.3	4207.7	7161.4	8320.91	5090.8
Crip2	200516	207563	190659	189249	103421	280376	415990	286276	141235	152899	121745	182155
Cript	26834.8	28838.4	29802.6	28906.8	23542.8	21249.4	30878.8	36162.9		3288.96	16100.1	
Crk	160813	183542	202934	193668	189080	202488	164539	162305	242426	228533	214170	207151
Crkl	244844	247206	313019	335059	232307	292299	199411	215441	211248	231199	225782	220738
Crlf1	23617.2	23957.2	16803.8	14211.7	7250.64	10885	13396.9	11509.6	47756	47773.6	55954.3	55621.3
Crlf3	48103.9	52415.7	56850.4	59710.6	37855.2	41205.7	26011.4	36200.2	49402.7	49925.8	51061.5	44426.9
Crmp1	178980	182644	186241	183626	118658	148344	151788	146690	183310	195935	192974	196838
Crmp1;Dpysl2	236987	339371	309783	354906	268304	279642	267221	313268	228881	270289	226790	289984
Crnkl1	66755.7	62572	64081.7	60639.5	56667.9	54709.6	57712.4	56687.8	55143.6	54632.2	51041	63411.1
Crocc	46389.1	55086.5	51841.8	49860.3	66667.1	75280.7	73737.2	77095.7	24148.9	29627.1	22005.2	27202.3
Crot	29839	27947.9	28979.7	32680.5	37357.9	42736.2	37674.3	40772.9	41777.6	42878.9	42466.3	39007.3
Crppa	14646.8	15587.5	15116.8	15443.3	23746.4	21295.4	17088.1	18784.8	24230.4	26059	23353.8	23433.5
Crtap	63029.8	65756.1	67733.8	74470.8	63755.5	68512.6	63120.7	58339.7	68184.8	65100.9	61569.8	68032.6
Crtc1	20868.7	21435.2	21680.9	20278.1	11655.7	18553.1	19263.8	21735.9	18621.1	18626.9	18015.3	26049.8
Crtc2	53937.6	68796.8	57910.5	53714.1	50047.8	69042.9	50541	65632.8	52602.7	63121.2	58965.5	72184.6
Crtc3	16486.9	18876.1	14456.2	20012.3	13943.6	17111.6	12250	13609.3	13627.4	17825.6	17829.1	18669.1
Cryab	48821.1	50010.3	47134.5	39296.6	57678.2	63427.9	63834.3	61138.5	505820	391473	406308	422441
