Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Mettl2	20468.7	19507.3	24739.4	21388.4	22495.7	29584.2	29191.7	26315.3	32546.7	34298	30059.1	32778.5
Mettl21A	25828.1	31878	29192.1	27548.5	18218.8	23354.8	25372	21350.7	21042.8	22477.2	23519.2	26736.6
Mettl25	2481.67	4394.25	4503.4	4876.54			1873.08	4490.35	3577.69	4366.41	3222.98	1891.12
Mettl26	38759.4	45587	47164.4	47488.4	57631.4	59424.3	63370	63838.2	81650.8	89593.9	80529.4	75380.7
Mettl27	7592.13	3836.98	2746.36	10561.2	7459.11	8339.66	6314.59	8225.75	8517.72	13136.9	8641.52	9220.57
Mettl3	14021.5	17529.4	12426.6	13797.1	10735.8	14273.8	17390.3	18785.3	5330.57	7942.15	9783.37	14311.3
Mettl5	25041.7	24363.1	21434.8	22982.9	24756.9	21329.4	21070.9	18995.6	17990.3	24023.6	13524.1	22217.4
Mettl6	8353.64	11745.9	11386.4	12444.8	7529	9090.55	12644.8	12478.1	5542.44	7139.62	11173.3	9192.3
Mettl7a1	9182.9	8582.86	9260.45	9689.71	2371.9	12302.7	12165.1	5701.33	14619.1	9586.41	15051.7	8735.46
Mettl8		27160.4	24931.5	17480		27826.1			29409.7	70271.4	34755	32451.9
Mettl9	37351.6	38700.4	41806.3	31665.8	29887.8	28498.5	27642	27677.6	24265.8	30407.2	28242.6	38219.4
Mex3a	9078.67	9227.29	7990.56	10500.7	6902.27	5934.01	6259.22	4723.31	5483.59	5183.87	5030.95	8387.18
Mex3b	7066.78	8985.33		6588.34	2792.27		2494.13		917.293	4116.57	2816.15	5144.72
Mex3c	19635.5	21776.9	22349.6	20973	9279.84	11613.1	13256.5	12751.6	11974.6	12604.6	14628.6	17167.8
Mex3d	12370.5	15347.3	19105.1		9695.09	17596.3	15048	15364.3		15422.9	13537.6	19632.7
Mfap1a;Mfap1b	163537	187795	188172	170004	140061	161174	155714	143397	130680	145810	137564	151613
Mfap3	15787	15341.2	13016.8	7616.16	34148.5	28459.5	27717.8	26855.8	6202.03		4244.01	8560.26
Mff	17014.5	17726.7	15076.2	14964.3	18385.4	19917.9	19904.1	19566.9	14835.6	18566.4	16293.3	20962
Mfge8	95880.4	92834.2	95325.8	92829	134463	142512	130443	127409	120619	127608	129254	139982
Mfn1	46801.4	53224.6	45442.7	42537.3	45063.7	54258.3	54126.9	51464.8	31379.8	41938.8	38217.3	43879.1
Mfn2	27523.7	32105	22996.8	21903.9	20444.2	23401.6	28904.5	21343.9	20047.6	21739.9	24296.5	25481.3
Mfsd1	21168	20418.9	12357.9	16065.4	20625.5	15739.2	19149.9	20648.9	8308.73	17685.9	12274.1	15379.6
Mfsd10	28024.6	27645	27946.9	24055	20549.9	22733.3	19617.8	13974.3	20289.5	33018.5	28719.3	28459.5
Mfsd3				1226.12		970.856		2265.18			991.666	1925.02
Mfsd5	31192.1	21080.6	22409.7	28333.4	63244	48107.3	29844.2	31216	42614.6	28742.2	40693.8	31028.7
Mfsd6	3748.44	3021.46	2093.28	1406.83	6413.48	7099.24	4083.52	5144.29		1343.3	1745.13	1341.74
Mga	17218.9	15181.8	9059.57	11955	5665.29	5792.71	13495.1	11145.9	5681.25	5848.98	7694.29	8450.92
Mgat1	19460	8615.86	13734.4	8906.31	10957.8	11209.1	13599.2	10562.9	7358.04	13542.5	13314.1	16534.1
Mgat2	31860.9	27250.9	23934.6	24363.1	21586.9	23193.2	25591.9	22793.1	25597.5	25550.9	31750.1	32996.2
Mgat4a	4048.99	2218.84	3259.98	2216.22	6914.41	3592.66	3991.09	3084.46	2459.53	1322.61	2184.04	2516.71
Mgat4b	24355.2	22013.4	23433.8	17185.4	17338	18856	16980.3	17396.9	13801.4	18166.4	19068	17231.7
Mgat5	79303.7	71427.7	70901.5	62811.3	76411.6	79555.3	80798.4	72065	16532.3	17479	17449.7	20880.6
Mgll	31986.2	31148.5	35186.5	29105.4		4094.83	4076.63	4884.05				
Mgrn1	20598.2	14728.4	20061.6	16090.5	27955.3	25194.4	18637.8	14583.6	23606.8	19596.2	24033.3	8302.52
Mgst1					18567.9	27920.7	23402.4	14075.3				
Mgst3	828.833		836.026	1180.35	3165.1	2443.52		720.883		757.177		
Mia2	72026.4	67218.1	68667.7	67976	61228.8	62839.3	59443	53996.7	62810.2	64227.2	68236	78599
Mia3	77403.4	77689.2	72856.2	75332.5	58817.4	65896.5	58125.4	54715.4	62848.9	64536.1	70046.4	74313.6
Mib1	33863	39954.7	31728.5	36330.4	41586.1	42536.3	38828.5	46555.3	27839.2	28887.7	25242.6	27873.1
Mical1	81714.3	83383.9	78001.6	85377.5	130472	139466	130894	121197	55008.6	54945.2	67236.1	62620.7
Mical2;Mical3			3123.45						5558.49	3731.46	4983.83	5551.81
Mical3	32567	34119.7	27906.3	28350.2	35839.7	41836.6	44402.3	47301.1	18093.4	14233.5	16128.7	19800.5
Micall1	29420.6	27768.6	30987.7	27040.4	30270.4	34577.9	31291.8	32011.1	32561.1	28170.6	32495.2	32980.4
Micall1;Micall2	17239.8	12582.3	24282	24464.5	9242.54	12938.5	14964.2	16299.8	20747.4	25687.7	27330.4	20419
Micall2	17468.7	21855.1	18595.9	19536.3	19621.3	19776.6	22104.2	13364.5	32312.6	36839	35049.2	36628.8
Micos13	287298	277318	315893	262205	242829	266298	305397	308421	278716	316635	318078	347688
Micu1	2726.01	4530.56	4610.83	3409.23	4518.84	6743.85	5168.11	6137.87	7098.99	8516.55	7461.64	9269.68
Micu2			6637.04	9030.34	6025.4	7787.08	7482.76	7907.7	14788	14531.1	14616.1	14006
Mid1ip1	30028.2	37937.6	35008.3	32225	39289.3	49746.3	44478.3	41723.4	44731.5	37417.4	36541.9	44022
Mideas	27302.8	32629.7	29209.7	25932.8	20470.9	23981.1	24398.6	19398	14833.1	18892.9	18084.4	21322.7
Mief1	6388.83	4983.7	6717.61	7910.31	8308.45	6319.71	9462.48	4282.27	12465.1	9742.89	11847.9	13279.1
Mier1	33825.9	29244.9	25245	36120.1	33008.7	28490.9	25971.4	28286.8	36969.4	27683.4	33027.5	19083.4
Mier2	5755.49	7421.61	8745.9	5035.87	3578.7	9551.38	7872.74	9911.67	2412.88	7771.77	3754.32	5640.18
Mier3	4301.31	5298.26	6896.86	6013.22	5058	4166.19	5654.76	6055.66	8288.91	4394.23	6252.09	3983.85
Mif	6.17E+06	7.60E+06	7.72E+06	7.13E+06	8.64E+06	7.08E+06	7.72E+06	7.98E+06	5.69E+06	5.43E+06	4.80E+06	4.68E+06
Mif4gd	20410.1	23896.6	22574.9	24392.9	25369.7	25579.4	14720.2	16758.2	23887.6	31996.8	31938.3	31029.5
Miga1			226.268	260.374					803.026	553.617	1034.68	356.811
Miga2	19100.3	21957.1	17453.2	21083.9	16276.7	13795.9	21246.2	17989.7	20865.2	15984	20187.5	22757
Mindy1	34950	31170.3	34461.7	36295.5	33885.3	34540.4	33947	34987.3	23099.7	25485.1	30343.1	33486.1
Mindy2	15395.6	15997.1	18840	15215.6	27568.8	23263.4	24911.4	22527.7	16877.1	13801.6	12343.6	15348.7
Mindy3	55461.2	56961	60472.7	56500.3	79405.4	76082.6	53418.4	55028.1	47033.2	49210.3	46421.6	45648.4
Mindy4	9893.64	11560.5	11314.8	12481	16844.7	12949.5	12689.9	17645.6	10962.2	6151.38	9033.51	9222.93
Minpp1	58783.9	55328.3	53349.6	62792.4	36545.8	38164.7	38811.5	43328.3	41722.6	44568.1	42407	48409.8
Mios	26849.3	25758	25301.8	27934.6	32364.1	33821.6	26130.6	32624.6	31541.2	33697.5	34505.4	36065.7
Mipep	42649.1	40978.4	40985.2	43104.8	27715.4	34293.8	33521.2	37308.1	35916.7	34299	36340.8	42923.9
Mis12	13119.9	17298.6	14735.3	17310.7	9999.32	15277	15102.7	13674.2	8471.66	9318.26	11395.4	10308.8
Mis18bp1	48040.1	54841.8	50904.5	60290.1	33360	38947.9	47198	52622.2	47030.6	47478	43666.2	35335.6
Mitd1	8612.99	9066.49	9945.66	9058.67	4193.66	9514.89	6974.91	7102.38	9728.36	7741.94	9900.18	7557.56
Mitf	70164.1	76044.5	85598.4	88928.4	67463.9	71357.2	55606.6	66814.3	34747.2	27738.3	30166.3	30921.7
Mitf;Tfe3	32983.7	39491.2	34130.9	31910.1	27153.8	34304.5	36297.7	37630.3	16698.3	20704.8	17243	23875.2
Mix23	40454.3	45504.6	45929.3	47945	58717.2	78792.5	78185.4	76747	48085.2	56970.4	48634.2	63674.9
Mki67	31891	33954.5	26759.6	28760	26488.6	31779	29818.8	27716	21647	21056.7	23319.8	27602.6
Mkln1	99681.2	106062	110294	92319.6	54314.8	57809.2	52769.1	58462.9	58464.6	59674.6	57646.2	54611.7
Mknk1					588.869				4098.7	3646.66	3357.73	
Mkrn2	18640.6	19934.9	22969.9	20815.4	24582.9	23439.3	26649	23801.5	19585.9	19470.4	18663.8	23602.3
Mlana	255587	207301	169782	113168	525886	483046	414518	387551	5895.31	4734.51	4444.02	3470.71
Mlec	32422.2	30181.2	31866.2	28418.5	41811.6	43440.9	38348.5	28851.1	30473	32432.2	37411.4	37604.8
Mlf2	46795.3	56700.4	54631.8	48847.4	43303.3	54136.6	57521.8	55770	38445.5	44681.5	38252.7	47487.7
Mlh1	85567.5	86833.3	87300	98590.7	67389	85818.4	74257.3	83740.2	65517.9	75686.2	72010.5	82261
Mlip	24298.6	28442.9	25083.2	23629.4					23806.7	23385.4	13534	26699.5
Mlkl	59673.3	54008.2	55354.2	53175.9	84097.2	81530.2	78286.5	84991.9	47578.3	53290.1	52659.7	53367
Mllt1	22255.5	25606.1	22885.7	21888.6	23765.9	22855.6	17874.4	16964.3	19826.9	23588.8	25555.7	22314.2
Mllt11	93390.4	106873	102289	81051.1	114905	149537	144473	181225	103485	124830	103429	139752
Mlph	71172.4	79502	85424.2	71274.5	109662	106212	103297	106362	15372.4	14569.8	11288.2	23979.1
Mlst8	39927.1	38035.8	40600.5	38825.7	29919.1	36556.4	36918.2	42021.6	27986.7	35260.4	26323.6	34748.6
Mlycd	13666.9	16088.9	7581.81	13761.6	24188.3	20678.8	19801.2	15464	19655.1	18560.8	19309.2	19574.7
Mmaa	21858.6	30389.7	25872.8	18455.9	17390.9	28692.2	39238	30774.6	25388.9	35813.8	32814.1	44808.1
Mmab	50477.3	55999.8	47328.9	48711.9	66113.9	79426.5	83308.5	70427.9	55842.5	64216	60340.2	70192.5
Mmgt1	65992.4	67391.8	59021	53404.5	31463	49357.7	45815.4	37801.1	112659	70349.7	109403	71174.5
Mmgt2	14869	15624.7		7853.46		10539.6			21224.9	15073.8	23595.3	20351
Mmp12	22945.7	25176.8	23701.1	22729.5	17351.6	21890.7	15010.8	16759.8	58554.9	27734.2	29007.8	21882.6
Mmp14	90279.8	100594	98524.5	88173.1	113819	130011	139648	141361	41084.6	48926.4	53939.6	51569.8
Mmp28	23097.9			20834.4			21618.3	22063.5	46989.3		36390.1	
Mms19	69320.4	51067.7	63887.3	65849.3	63647.9	59083.3	43910.7	47384.5	60703.1	56698.6	63704.9	53151.9
Mms22l	12703.1	14387.5	14191.7	11043.6	13169.7	15055.9	9260.57	8520.2	10303.2	8428.22	7766.01	10781.9
Mmtag2	32538.7	32700.7	40301.8	43413.4	31766.7	40125.1	30466.8	35552.8	47451.7	51146.5	42645.8	52716.7
Mmut	98453.4	105510	99965.6	100147	91288.2	110885	111487	104043	86285.4	105174	103424	115452
Mnat1	52314.4	60175.2	63046.8	54547.4	40177.6	56026.9	60774.8	55858.8	35920.9	41618.8	35974.2	48824.6
Mns1	19245.4	26872.1	15023.7	18135.8	24534.9	21852.3	17352.5	19570.2	17160.1	18943.4	16076.6	14975.1
Mnt	12738.4	19434.7	12309.9	15364	14759.8	10017.1	28015.1	17253.2	11978.3	7954.02	13376.4	14540.8
Mob1a;Mob1b	72872.6	65788.5	65306	68280.3	70407.1	70885.3	64597.5	57675.4	73768.9	70937.1	76652.2	77927.6
Mob2	20501.2	14262.1	14056.9	11071.4	17756.5	15324.3	17589.6	13505.4	12083	12182.7	15650.4	17493
Mob4	120770	108127	135844	116353	103227	99692.3	102854	108841	106132	88491.2	95386.6	81094.3
Mocs1	12195.6	15812.7	13743.3	18728.5	16724.9	18005	20220.5	16745.5	17883.8	13809.2	18305.7	17926.6
Mocs2	28855.2	30117.1	31006.8	27210.9	32442.1	33740.4	32610.1	38553.8	19794.4	24050.5	23078.6	24081.7
Mocs3	27201.2	27688.2	30262.7	27711	21528	24111.9	25182.8	26770.4	18031.7	20483.9	20334.7	23398.6
Mogat1	7783.48	9469.84	5591.64	6745.95	3454.51	1887.13	4680.04		20268.3	23256	23130	30394.4
Mogs	201332	176404	159605	146638	125338	129520	124591	103177	142916	141256	175879	184823
Mon1b	26724.1	17863.8	12625.6	22665.3	13922.8	20906.1	16570.3	16275.1	21187.1	17850.3	25894.1	26345
Mon2	30833.4	26969.7	27221.1	24439.7	27119.4	21891.7	21685.8	16775	26892.1	27133.8	28144.2	29638
Morc3	7331.6	9670.57	10899.2	11236.5	11948.3	9003.28	8840.08	7025.74	8818.06	10239.7	13238.4	10054.2
Morf4l1	22370.2	22308.8	20688	23054.1	19546.4	19259.2	13248.9	15533.5	24267.7	17458.2	21610.8	17515.8
Morf4l2	29325.3	36089	28697.2	29631.9	21649.9	22254.8	26537.6	23839.7	26323.2	25592.8	25298.1	23667.3
Mospd2	5398.5		4399.66	3739.44	7762.87	3758.54	6984.21	2950.32	7728.19	7007.01	8672.27	7509.31
Mov10	35817.7	30015.8	31043.4	28728.2	57167.7	50370.9	47126.9	51351.2	28374	25389.4	33863.9	35691.4
Mpc1	42472.8	30791	39669.5	34230.5	21533	29898.1	21621.4	16767.1	39066.2	41437.8	43679.9	35076.9
Mpc2	113058	107120	114601	103171	76131.6	81941.1	68904.4	54131.4	79128.2	89735.5	92906.5	94609.4
Mpdu1	74047.7	54523.8	54439.1	58103.1	108142	80599.4	46010.2	40332.7	84561	84252.9	91046.2	92677.5
Mpdz	29640.4	31872.6	32381.2	30182.7	29855.2	38855.9	33848.6	37703.2	25491.2	27608.9	26560.5	32710.9
Mphosph10	69354.3	82621.6	80953.1	90334.9	55044.5	73617.3	58937.3	58937.3	94172.4	87254.9	88723.6	85728.1
Mphosph6	40224.2	48865.2	42137.2	42518.1	32312.3	48983.3	41363.1	47959.5	20477.4	35280.1	33671.9	41464.6
Mphosph8	12793.9	10397	15028.7	12503.2	7643.47	8463.24	9743.71	2959.7	8597.12	4501.41	5292.51	8744.16
Mpi	166199	125513	145852	163018	259871	202041	183747	200792	154887	182216	179912	177627
Mplkip	7560	7035.78	6182.48	6083.48	4740.37	6630.4	4280.04	6292.11	5643.47	4026.1	1848.86	8280.71
Mpp1	49258.9	54104.7	52173.1	53116.6	47056.3	61917.2	57262.6	61568.3	48720.5	51814.7	46203.4	55487.5
Mpp2	9457.95	14775.6	13307.5	11122.6	18645.1	23704.3	28158.5	30858.6	10550.5	11397.4	11749.8	14639.5
Mpp2;Pals2	49164.7	59254.1	60460.3	57748.9	65395.8	64460.7	63494.6	58093.5	56554.5	51562.8	59631.3	41536.5
Mpp7	3229.84	6220.7	2340.13	2097.64	2408.2	5828.51	7576.32	5129.17	5707.78	6653.18	7131.13	6122.25
Mpped2	11074.4	13431.5	9641.11	9983.21	12849.4	14065.8	14038.3	17210.8	2516.53	13391.9		9097.21
Mprip	65042.9	69565	75119.2	72551	82237.8	86478.6	73378.4	79384.3	72815.5	72626.4	68570.4	76149.5
Mpst	146667	152413	155771	172976	172148	161226	161482	176589	166460	180647	178832	180663
Mpv17	24799.5	15678.3	18571.7	17781.8	22230.9	21270.6	21155.3	20570.2	17205.7	17799.8	24305.3	26195
Mpzl1	49962.6	47739.7	41749	50444.2	58974	62109	51916.4	44819.6	17215.2	20702.5	19027.7	18202.9
Mr1	14245.2	11982.7	13080.6	10477.2	13759.5	16568.2	13667.6	22833.7	8468.78	6500.78	7289.72	10322.1
Mre11	68804	71029.8	71025.7	72447.8	56456.2	63742.1	62598.7	63276.7	66307.6	62450.2	61573.6	62975.7
Mreg	19944.3	19241.6	20123.6	15439.3	27144.3	25467.7	26100.4	27545.6	9324.35			3593.88
Mrfap1	137008	165573	142499	132675	123718	139403	144833	146456	104056	107339	127246	127206
Mrgbp	37714.7	48038.3	49771	41861.7	42274.2	40525.8	41887.2	39876.4	23422.2	35597.8	30512.8	38295.9
Mri1	126649	127863	132497	121801	122479	139277	124251	123638	107042	117989	112157	119135
Mrm1	14236.2		12411.1	13390.2		7353.19	8200.35	13861.2	11810.2	12727.1	12498.1	12393.9
Mrm2	18757.6	13394.7	18464.2	8811.27	12623.1	16499.7	13646.1	21709.6	20804.9	23685.8	13847	17577.4
Mrm3	52316.1	55717.1	63624.6	54963.5	39738.4	45247.5	42634.9	42918.4	62471.1	60084.7	57601.7	59271
Mrnip	7832.37	13209.9	10646.4	1758.8	10964.9	12420	9685.48	17138.8			7585.88	12774.8
Mroh1	45829.8	43790.1	46168.2	45101.3	64038.4	58780.7	56402.1	57907.9	35685.8	37900.7	41680	47714.1
Mroh8	40152.8	37885.7	41852.5	46121.1		41622.8	28639.8	28544.5	47967.2	45899.8	39955.7	44035
Mrpl1	34601.2	33101.6	38742.1	37062	43794.4	42619.9	39965	39588.3	48685.3	50972.2	43884.1	52565.1
Mrpl10	77263.5	85287.2	88992.9	96159.3	104390	123911	87661.7	91199	106422	115891	111784	120847
Mrpl11	61441	60825.2	70701.7	66270.5	59015.1	76229.3	69788.8	72367.4	64435.4	77362.2	67601.9	79230.7
Mrpl12	246028	262922	260401	253222	281515	356652	320991	319673	315539	327236	323464	320309
Mrpl13	101867	119163	113562	109806	101566	131498	130469	137514	134211	132664	132323	140878
Mrpl14	115788	136297	125426	119653	107807	129152	148435	151156	135252	156782	141746	178369
Mrpl15	85495.5	87207.5	86086.3	90955	81347.2	90185.2	96622.8	97310.5	92160	98684.6	99021.7	110888
Mrpl16	51873	58959.5	57574	62456.5	64597.6	64805	61946	55891.4	78095.2	84451.3	79927	86887.4
Mrpl17	79261.6	98726.4	106176	92841.9	94900.7	129924	101455	119891	112736	116368	111678	123941
Mrpl18	92699.5	97465.8	124573	126923	131155	122358	98364.8	118939	160139	153640	151785	118530
Mrpl19	90304.5	94067.9	96245.4	105865	122520	124224	100196	98620.1	144771	129842	141661	132264
Mrpl2	46257.4	47981.5	41526.8	41417.9	49354.6	55670.1	62766.3	66724.3	46614.7	51066.1	48496.7	57021.8
Mrpl20	24400.4	23392.1	30536.6	29183.9	30011.4	30157.8	25480.9	27114.9	42650.4	34149.2	44714.8	36369.4
Mrpl21	134757	136732	131975	166982	140917	179022	158702	141536	202341	199135	180856	210687
Mrpl22	119421	115067	128803	136350	140116	126329	109282	115439	176148	168730	175715	156243
Mrpl23	67598.1	74774.5	70816.8	65605.7	75164.4	99223	101117	101046	78052.2	84981.7	79687	109409
Mrpl24	50264.1	59115.9	64998.8	53375.3	77846.9	81243.9	73751.6	72778.7	87062.5	78789.1	80174.6	71603
Mrpl27	74083.2	78376.7	74203.7	71451.5	45396.8	83093.6	96838	91057.6	75717.3	86471.4	79238.3	96222.7
Mrpl28	72751.4	79768.4	80379	77621	82277	113608	106566	111132	103697	104286	102720	115721
Mrpl3	73403	69307.7	80169.2	76809.4	75078.5	85592.5	88300.9	82780.7	89718.1	88080.8	87927	88299.6
Mrpl30	10385.6	14880.4	13837	12999	23633.6	12398.8	14294.7	12667.8	24476	20771.1	20048.6	17048.5
Mrpl32	41074.4	39283.9	46378.6	48533.1	67611.7	59250.2	44128.9	56903.5	70458	60655.4	59760.7	69390.6
Mrpl33	14572.8	16262	8885.1	15433.7	20280.8	17882.9	17665.6	14682.4	18780.7	24102.4	18309.1	26407.9
Mrpl34	14856.3	15926	15941.5	19823	18380	17345.5	17745.9	19246.6	26131.2	26120	24234.3	26882
Mrpl35	50269.4	57074.6	51653.2	66579.9	62385	60265.4	78413.6	59794.2	183717	119012	159150	117825
Mrpl37	65049.2	62027.7	58998.9	65938.6	70962.1	73953.9	79542.2	74496.4	83899.4	86058.3	86558.7	92027.5
Mrpl38	96266.4	95563.2	102334	99526.9	102617	114978	105468	115638	117986	122634	129809	122534
Mrpl39	91740.1	99711.7	103640	97647.1	102102	113739	117227	114029	99730.6	106253	100242	116962
Mrpl4	82111.6	89642.5	91490.4	107964	115028	106349	94107	93256.7	119148	124787	121052	119527
Mrpl40	200138	265603	220044	190360	120902	241276	288235	282212	179386	188933	170366	239562
Mrpl41	81880.1	89074.3	86839.4	86970.9	109248	130817	104118	115111	121568	112809	114570	123394
Mrpl42	21157.3	37498.2	49101.5	41511.1	10754.8	44854.2	23936.5	25950.5	69142.9	58866.7	82056	64615.8
Mrpl43	81352.3	115454	100459	85156.1	69920.8	99750.8	112620	114257	98110.5	104706	101794	126087
Mrpl44	77601.4	76620.8	80140.9	100082	93988.8	96937.2	78317.8	85341.3	109376	114116	103089	105351
Mrpl45	54747.2	60221.7	60244.5	56094.1	62376.8	61940.3	58592.5	65296.4	76491.1	67050	70266.5	65497.8
Mrpl46	74874.6	79753.6	79541.4	79473.7	74417.2	93584.5	94441.2	99813.2	75643.5	78185.8	75887.1	87199.1
Mrpl47	108042	123352	119038	112672	147129	147297	138340	133864	169154	168310	163227	175226
Mrpl48	42343.7	43408.4	47166.1	47205.4	49157.5	56591.4	51046.1	48380.3	55934.8	55025	56369.9	60146.5
Mrpl49	58947.8	74299.5	77256.5	73477.9	68264.3	83855.4	70176.6	77269.7	89723.4	89494.7	81028.3	99984.8
Mrpl50	125575	132710	135459	126762	127061	142769	137790	143122	139944	139449	130353	153703
Mrpl51	51352	45901.5	42684.1	42548.7	18776.8	38660.3	52340.2	49351.6	29465.1	47310.7	53117.2	69790.5
Mrpl52	17688.5	24135.6	18161.9	19323.9	15250.8	22415.9	21882	22818.6	12762	22195.2	16922.9	24424.2
Mrpl53	82376	87903.9	89263	95606.5	98026	116871	100915	120239	121791	113473	111660	95748.7
Mrpl54	3357.47	6630.2	5283.29	5674.55	10097	8054.81	2699.59	7311.09	6480.95	6207.51	13161.3	12337
Mrpl55	55361.6	52094	58654.2	60096.6	52956.7	66847.5	63585.8	62815.4	73873	68992.5	66688	75378.2
Mrpl57	32319.6	38295.4	34444.8	29399.1	31027.5	35057	31277.3	39231.6	35144.3	42890.6	34573.9	44286.3
Mrpl58	113330	119994	126403	121142	122188	148796	158880	157076	150771	139369	130826	151312
Mrpl9	74282.3	79884.7	83874.9	82260.4	89165.5	101562	104044	87278.5	117067	112101	114479	119686
Mrps10	89069.1	95619.5	94008	106428	115255	182102	116345	133299	141079	142568	148219	123113
Mrps11	83477.1	97511.7	87332.6	78180.1	75252.7	87423.1	107805	89349.6	89351.8	101934	101210	108768
Mrps12	95325.5	87923.9	105680	102930	93815.3	89137.6	88720.8	100456	104246	96819.6	96606.9	93036.9
Mrps14	42881.3	41634.6	40734.8	45250.5	29034.2	37824.7	37865.2	42491	57000.3	59294.9	56589	63062.3
Mrps15	77751.7	76085	89423	88531.3	89805.5	94508.4	84958.8	79131	98875.1	99944.6	95950	92376.8
Mrps16	49609.8	54054.2	58411.7	57127.7	45058.5	42499.6	48419.8	48834.6	60744.7	55200	63380.4	72115.7
Mrps17	53661.9	46220.6	51997.7	49266.3	59432.6	62281.4	60917.6	47649.1	91467.6	78801.2	77826.9	69133.6
Mrps18a	32529.7	27085.7	38771.9	33107.6	33780.9	32990	33162	38383.3	47465.8	45764.1	48234.6	42908.7
Mrps18b	33831.5	23670.3	34737.4	33088.7	25449.4	30891.5	28279.1	34932.9	32262.4	39672.7	40692.3	33340.2
Mrps18c	66157.7	58143.9	53316.6	53656.5	62782.2	59588.4	66096.8	78682.6	49505.3	61095.3	58302	59289.4
Mrps2	51237.1	57535.7	58959.5	64399.5	66881.4	67386.2	52001.2	52292.7	68717.9	72703.8	73644.5	72878.4
Mrps21	33651.2	35160.8	34820.7	33509.7	27012.1	32396.1	32324.2	35420.3	35303.8	42326.5	37129.8	49450.6
Mrps22	91664.9	101036	105996	104844	105085	118790	114048	100396	126352	133385	137907	126493
Mrps23	217573	228920	224330	214334	226507	274907	301912	304427	252708	242066	226109	263609
Mrps24	39959.1	43250.5	40544.9	37410.5	26853.9	42252.2	37936.1	43520.3	44495.1	52335.5	49495.2	51671.9
Mrps25	53150.9	52305.5	67727.6	56813	52920.2	69681.7	57940.6	62128.5	41269.4	55109.8	70039.7	74856
Mrps26	79490.4	89181.6	95071.6	87714.7	106460	103977	111262	90945.8	104167	110919	103146	105542
Mrps27	110326	107259	105733	107023	119315	128178	132775	126681	119433	115204	115565	138307
Mrps28	163825	164084	184208	177817	179505	208946	197378	195098	182169	188803	180861	167906
Mrps30	111501	108722	108196	124040	140264	128027	126392	128233	132882	125304	141009	152484
Mrps31	71778	73841.4	80253.1	87507.2	83671.8	98935.4	71840.4	79196.8	98406.9	102353	98489.3	91962.1
Mrps33	51842	73567.2	66978.5	61396.3	65340.8	55351.1	70528	86146.2	66894	70354.7	83431.9	94888.2
Mrps34	114627	107354	106614	98574.3	97457.4	103623	109535	95164.9	122366	124692	123500	142586
Mrps35	77786.6	90986.2	82582	80519.4	92278.9	91413.2	82264.6	84417	91397.4	90058.8	99688.9	87252.7
Mrps36	58823.9	67488.2	69221.2	60680.2	65416.5	81542.4	82907.6	66123.2	49543.1	60709.5	40227.2	55476.5
Mrps5	110618	112393	112398	114751	119569	129437	132308	137209	147926	139835	133788	139848
Mrps6	38372.7	42846.6	44836.3	37818.6	39329.7	47009.7	50809.6	49059.9	45983.9	51748.5	52654	52006.2
Mrps7	64978.2	66817.7	71808.9	70272.1	67345.2	81684.8	76290.2	73842.6	77794.8	78702.8	75639.4	73207.8
Mrps9	108925	114040	117283	122690	126292	135337	119080	119500	128141	127335	129887	131742
Mrrf	56745.7	53468.8	48062.2	48105	50156.8	67589.4	69588.6	65556.1	36650.9	57490.3	55126	68162.7
Mrs2	3491.19	3685.14	2878.95	4095.58	7675.82	4349.43	1974.71	3179.85	4743.14	3878.7	5979.02	4008.56
Mrtfa	8486.48	11131	15008.6	14400.5	9242.6	4910.63	12088.9	14682.4	9911.95	11219.5	11998	11026.5
Mrtfa;Mrtfb	3349.9		2452.23	2887.88	1738.59	2923.1	5181.32	1645.94				
Mrtfb	50312.1	57533.6	52592.9	54039.5	36386.4	45692.8	51290.9	52894.5	24519.3	31034.6	22685.2	30487.3
Mrto4	170025	168362	192699	193293	178885	164824	134787	144760	228170	217875	211833	193050
Msantd2	8913.65	4165.5	4417.99	5556.51	7482.09	4427.08		9423.7	3189.43	4544.17	3173.59	
Msh2	121237	117333	118589	125221	119162	118516	115058	117538	73716	79278.3	78847.2	89146.3
Msh6	111698	109338	107738	113399	107961	110557	105808	107982	69288.4	71778.5	76723.5	77072.1
Msi2	30749.5	36217.6	46363.9	46434.9	41654.7	32388.6	17832.8	23764.7	68120.2	62490.8	59611.8	44912.7
Msln	15636.8	13514.7		11023.3	18293.1	15149.1		14355.5	14386.2	14222	13719.1	
Msmo1	16120.1	15920.1	10980.3	15728.4	36343.1	21461.6	19418.8	15236.8	15452.8	16153.8	21336.3	15306.1
Msn	769231	823253	836238	801563	774188	989463	947338	928446	668424	712410	672333	788236
Msra	24789.3	30193.6	26629.8	22917.2	18763.1	18398.7	16297.7	15700.9	19826.6	19809.9	19264.9	23270.3
Msrb2	25041	31370.9	31408.4	28318.1	43055.6	46384.6	31185.1	52210.9	23957.5	23743.4	27464.2	24618.3
Msto1	126881	131686	119932	125966	109817	105459	123201	116310	113681	134083	128523	134728
